learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-07,True,12,6,Sigmoid,0.003799392841756344,0.0053046164102852345,8192,9
0.01,0.0001,True,20,6,Sigmoid,0.004816324450075626,0.005386879667639732,8192,11
0.01,0.0001,True,16,24,Sigmoid,0.003413565456867218,0.00556846521794796,8192,34
0.01,1e-06,True,12,6,Sigmoid,0.0048567019402980804,0.0057731992565095425,1024,4
0.01,1e-06,True,12,6,Sigmoid,0.00364670273847878,0.005883785896003246,2048,3
0.01,1e-05,True,12,12,Sigmoid,0.006535990629345179,0.006046799942851067,8192,17
0.01,1e-07,True,20,6,Sigmoid,0.0033093972597271204,0.00608537532389164,4096,7
0.01,1e-07,True,16,6,Sigmoid,0.006339202634990215,0.00621381588280201,8192,8
0.01,0.0001,True,12,6,Sigmoid,0.006647044792771339,0.006252489984035492,8192,8
0.01,1e-06,True,16,6,Sigmoid,0.005147675983607769,0.00630104448646307,8192,9
0.01,1e-07,True,20,6,Sigmoid,0.0049673584289848804,0.006307937204837799,8192,11
0.01,1e-05,True,12,6,Sigmoid,0.005747315473854542,0.006406641099601984,4096,6
0.01,1e-05,True,12,6,Sigmoid,0.00418771430850029,0.006483214907348156,1024,4
0.01,1e-06,True,12,6,Sigmoid,0.007531685754656792,0.006501944735646248,8192,9
0.01,1e-06,True,12,12,Sigmoid,0.0030818928498774767,0.006700584199279547,8192,16
0.01,1e-05,True,16,6,Sigmoid,0.006245830096304417,0.006800166331231594,4096,6
0.01,1e-05,True,20,6,Sigmoid,0.004953085444867611,0.006835148669779301,1024,5
0.01,1e-06,True,12,12,Sigmoid,0.00489036925137043,0.006961810402572155,2048,7
0.01,1e-06,True,16,6,Sigmoid,0.005761145614087582,0.006963222753256559,4096,7
0.01,1e-07,True,20,6,Sigmoid,0.003513915929943323,0.006971025839447975,2048,4
0.01,1e-05,True,16,6,Sigmoid,0.005281717050820589,0.007128129247575998,2048,4
0.01,1e-06,True,8,6,Sigmoid,0.004421003628522158,0.007177160121500492,2048,3
0.01,0.0001,True,16,12,Sigmoid,0.005145920440554619,0.007196955848485231,8192,17
0.01,1e-06,True,16,6,Sigmoid,0.00416247732937336,0.007216983009129763,2048,4
0.01,0.0001,True,20,6,Sigmoid,0.006856468506157398,0.007557201664894819,2048,5
0.01,0.0001,True,8,6,Sigmoid,0.006135532166808844,0.007665829733014107,8192,7
0.01,0.0001,True,16,12,Sigmoid,0.005485772155225277,0.007676360197365284,2048,7
0.01,1e-06,True,16,12,Sigmoid,0.0073182666674256325,0.007792229764163494,2048,8
0.01,0.0001,True,16,6,Sigmoid,0.0060080718249082565,0.007823300547897816,1024,4
0.01,1e-06,True,20,6,Sigmoid,0.004792600404471159,0.007831261493265629,4096,9
0.01,1e-05,True,8,6,Sigmoid,0.004769523628056049,0.007888021878898144,4096,5
