learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time,epochs,sampling_type
0.01,0.0001,True,20,6,Sigmoid,0.0365020148456096,0.0602694079279899,256,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0591185688972473,0.0602817945182323,4096,0,100,sobol
0.01,1e-05,True,12,12,Sigmoid,0.0598976835608482,0.0606618821620941,8192,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.057978119701147,0.060905072838068,1024,0,100,sobol
0.01,1e-07,True,20,6,Sigmoid,0.040768027305603,0.0609414204955101,256,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0609103180468082,0.0611972212791442,8192,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0513860508799552,0.0614217221736907,512,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0606294646859169,0.0615461692214012,8192,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0540043041110038,0.0616483725607395,1024,0,100,sobol
0.01,0.0001,True,16,6,Sigmoid,0.0531613156199455,0.0622568950057029,512,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0574245676398277,0.0623417608439922,2048,0,100,sobol
0.01,0.0001,True,12,6,Sigmoid,0.0621596872806549,0.0623450577259063,4096,0,100,sobol
0.01,1e-06,True,16,12,Sigmoid,0.0560296550393104,0.0623889192938804,1024,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,0.0625576376914978,0.0628809109330177,8192,1,100,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0528690107166767,0.0628813654184341,512,0,100,sobol
0.01,1e-07,True,12,24,Sigmoid,0.0574954934418201,0.0633278042078018,1024,0,100,sobol
0.01,1e-06,True,8,12,Sigmoid,0.0588953346014022,0.0633772760629654,1024,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,0.063893586397171,0.0636402368545532,8192,1,100,sobol
0.01,1e-06,True,16,24,Sigmoid,0.0605427920818328,0.0637960433959961,4096,1,100,sobol
0.01,0.0001,True,8,6,Sigmoid,0.0617872402071952,0.0638206899166107,4096,0,100,sobol
0.01,1e-06,True,20,24,Sigmoid,0.0527986697852611,0.0644219443202018,1024,0,100,sobol
0.01,0.0001,True,16,24,Sigmoid,0.0632637739181518,0.0644968301057815,8192,1,100,sobol
0.01,1e-05,True,12,12,Sigmoid,0.06148212403059,0.0645745545625686,2048,0,100,sobol
0.01,1e-05,True,16,24,Sigmoid,0.0608233883976936,0.0645849704742431,8192,1,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0651512145996093,0.0646150112152099,4096,0,100,sobol
0.01,1e-06,True,20,6,Sigmoid,0.0473176576197147,0.0647509396076202,256,0,100,sobol
0.01,1e-05,True,16,6,Sigmoid,0.0525099746882915,0.064788207411766,512,0,100,sobol
0.01,1e-05,True,8,12,Sigmoid,0.0653988569974899,0.0648722201585769,8192,0,100,sobol
0.01,1e-07,True,16,12,Sigmoid,0.0590791851282119,0.0649055838584899,1024,0,100,sobol
0.01,0.0001,True,4,6,Sigmoid,0.0568734109401702,0.0650405213236808,512,0,100,sobol
0.01,1e-07,True,16,24,Sigmoid,0.0627433210611343,0.0652554780244827,8192,1,100,sobol
0.01,1e-05,True,12,6,Sigmoid,0.064166709780693,0.0654837042093277,2048,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.0513793341815471,0.0656621009111404,512,0,100,sobol
0.01,1e-06,True,12,6,Sigmoid,0.0637313425540924,0.0658958107233047,1024,0,100,sobol
0.01,1e-06,True,12,12,Sigmoid,0.0601792894303798,0.0659718513488769,1024,0,100,sobol
0.01,1e-06,True,16,24,Sigmoid,0.0560209155082702,0.0660007521510124,1024,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0467901229858398,0.0660543367266655,256,0,100,sobol
0.01,1e-07,True,12,6,Sigmoid,0.0632825493812561,0.0661393851041793,1024,0,100,sobol
0.01,1e-06,True,20,12,Sigmoid,0.0476259440183639,0.066225066781044,512,0,100,sobol
0.01,1e-07,True,16,6,Sigmoid,0.0430773571133613,0.0665039122104644,256,0,100,sobol
0.01,1e-05,True,16,12,Sigmoid,0.0614601336419582,0.0666670054197311,1024,0,100,sobol
0.01,0.0001,True,16,12,Sigmoid,0.064569741487503,0.0667159259319305,2048,0,100,sobol
0.01,1e-07,True,12,12,Sigmoid,0.0651881247758865,0.0670967996120452,4096,0,100,sobol
