learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-05,True,12,6,Sigmoid,0.006201857700943947,0.00740194832906127,8192,3
0.01,1e-06,True,8,12,Sigmoid,0.00866904016584158,0.00774520356208086,8192,6
0.01,1e-07,True,20,12,Sigmoid,0.008001199923455715,0.007819907739758492,8192,74
0.01,1e-06,True,12,6,Sigmoid,0.007083692587912083,0.008086735382676125,8192,3
0.01,1e-06,True,8,6,Sigmoid,0.0060423146933317184,0.008218667469918728,8192,3
0.01,1e-07,True,20,6,Sigmoid,0.005897861905395985,0.0085670854896307,8192,5
0.01,0.0001,True,16,6,Sigmoid,0.007968289777636528,0.008638150990009308,8192,4
0.01,1e-07,True,12,6,Sigmoid,0.00700495857745409,0.00871084164828062,8192,3
0.01,1e-07,True,16,6,Sigmoid,0.005929493810981512,0.008717739023268223,8192,4
0.01,1e-05,True,12,12,Sigmoid,0.007685412652790546,0.009029533714056015,8192,7
0.01,1e-05,True,8,6,Sigmoid,0.007149895653128624,0.009370628744363785,8192,3
0.01,1e-07,True,16,12,Sigmoid,0.007795390672981739,0.009616103023290634,8192,8
0.01,1e-07,True,8,12,Sigmoid,0.009668456390500069,0.010054936632514,8192,6
0.01,1e-05,True,16,6,Sigmoid,0.007743951864540577,0.010152207687497139,8192,4
0.01,1e-06,True,12,12,Sigmoid,0.009395331144332886,0.011112562380731106,8192,7
0.01,1e-07,True,8,6,Sigmoid,0.008418248035013676,0.011160105466842651,8192,3
0.01,1e-06,True,20,6,Sigmoid,0.012256421148777008,0.011563417501747608,8192,6
0.01,1e-05,True,20,12,Sigmoid,0.009208232164382935,0.011687958613038063,8192,10
0.01,0.0001,True,12,6,Sigmoid,0.010509589686989784,0.011751094833016396,8192,4
0.01,1e-06,True,8,24,Sigmoid,0.012264072895050049,0.01179210003465414,8192,11
0.01,1e-07,True,12,24,Sigmoid,0.008250152692198753,0.012123518623411655,8192,44
0.01,1e-06,True,16,12,Sigmoid,0.011996936984360218,0.012368913739919662,8192,8
0.01,1e-07,True,20,24,Sigmoid,0.00741204246878624,0.012375499121844769,8192,35
0.01,1e-07,True,8,24,Sigmoid,0.012588480487465858,0.012486965395510197,8192,12
0.01,1e-07,True,12,12,Sigmoid,0.01051600556820631,0.012586476281285286,8192,7
0.01,1e-06,True,16,6,Sigmoid,0.006056540179997683,0.012713605538010597,4096,2
0.01,1e-05,True,16,12,Sigmoid,0.008008155040442944,0.012753309682011604,2048,4
0.01,1e-05,True,12,24,Sigmoid,0.009399550035595894,0.013049627654254436,8192,14
0.01,0.0001,True,12,24,Sigmoid,0.012090328149497509,0.013106594793498516,8192,91
0.01,1e-07,True,12,6,Sigmoid,0.005059064365923405,0.013153471983969212,2048,1
0.01,1e-05,True,8,6,Sigmoid,0.005247344728559256,0.013206658884882927,4096,2
0.01,0.0001,True,20,6,Sigmoid,0.010765133425593376,0.013226194307208061,8192,236
0.01,1e-05,True,16,12,Sigmoid,0.008036617189645767,0.013420837931334972,4096,6
0.01,1e-06,True,12,6,Sigmoid,0.007159708999097347,0.013421637006103992,4096,2
0.01,1e-06,True,20,6,Sigmoid,0.006533307489007711,0.013486303389072418,2048,2
0.01,1e-05,True,20,12,Sigmoid,0.012707239016890526,0.013814630918204784,4096,6
0.01,1e-07,True,20,6,Sigmoid,0.007374931126832962,0.013909229077398777,4096,3
0.001,1e-07,True,20,6,Sigmoid,0.013791978359222412,0.014074321836233139,8192,5
0.01,0.0001,True,12,6,Sigmoid,0.012582738883793354,0.014140969142317772,2048,1
0.001,0.0001,True,16,6,Sigmoid,0.012621322646737099,0.014144891873002052,8192,4
0.01,1e-07,True,12,6,Sigmoid,0.010229875333607197,0.014153210446238518,4096,2
0.01,0.0001,True,20,12,Sigmoid,0.011579114943742752,0.014209125190973282,8192,10
0.01,1e-05,True,16,6,Sigmoid,0.009191425517201424,0.014390816912055016,4096,2
