learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-05,True,20,6,Sigmoid,0.006005497649312019,0.006387258879840374,4096,5
0.01,1e-06,True,16,6,Sigmoid,0.005641652271151543,0.006422856822609901,4096,4
0.01,1e-07,True,16,6,Sigmoid,0.005668357014656067,0.006880063563585281,4096,4
0.01,1e-07,True,12,6,Sigmoid,0.006436700467020273,0.007441845256835222,8192,6
0.01,1e-06,True,16,6,Sigmoid,0.0061241816729307175,0.007543052546679974,8192,6
0.01,1e-07,True,20,6,Sigmoid,0.0066046505235135555,0.007594284601509571,2048,3
0.01,1e-06,True,20,6,Sigmoid,0.006068490445613861,0.007601392921060324,8192,8
0.01,1e-05,True,12,6,Sigmoid,0.00744491396471858,0.007895891554653645,4096,3
0.01,1e-05,True,8,6,Sigmoid,0.0058478196151554585,0.008389368653297424,8192,5
0.01,1e-05,True,16,6,Sigmoid,0.006467391736805439,0.00848834216594696,4096,4
0.01,1e-06,True,8,6,Sigmoid,0.006392692215740681,0.008493971079587936,2048,2
0.01,1e-07,True,16,6,Sigmoid,0.006629271432757378,0.008522768504917622,2048,2
0.01,1e-06,True,16,6,Sigmoid,0.006982184015214443,0.008576588705182076,2048,2
0.01,0.0001,True,20,6,Sigmoid,0.006152167916297913,0.008674215525388718,1024,1
0.01,1e-06,True,16,12,Sigmoid,0.006839476525783539,0.00875992514193058,8192,12
0.01,1e-05,True,20,6,Sigmoid,0.00690066022798419,0.008773183450102806,2048,3
0.01,1e-06,True,8,6,Sigmoid,0.007793950382620096,0.008836355060338974,8192,5
0.01,1e-07,True,12,6,Sigmoid,0.007013702765107155,0.00887923315167427,2048,2
0.01,0.0001,True,20,6,Sigmoid,0.007551912218332291,0.009070932865142822,8192,9
0.01,1e-07,True,12,12,Sigmoid,0.006625434383749962,0.009164409711956978,2048,5
0.01,1e-07,True,8,12,Sigmoid,0.006497407332062721,0.009200147353112698,2048,4
0.01,0.0001,True,20,12,Sigmoid,0.008975623175501823,0.009418227709829807,4096,9
0.01,1e-06,True,12,6,Sigmoid,0.008396503515541553,0.00948906410485506,8192,6
0.01,0.0001,True,8,6,Sigmoid,0.008517769165337086,0.009620506316423416,2048,2
0.01,1e-05,True,20,12,Sigmoid,0.00834072008728981,0.009904731065034866,8192,16
0.01,1e-07,True,20,6,Sigmoid,0.00783451832830906,0.010023131966590881,4096,5
0.01,1e-07,True,20,6,Sigmoid,0.006772274151444435,0.010062570683658123,8192,8
0.01,1e-07,True,16,6,Sigmoid,0.010944847948849201,0.010113468393683434,8192,6
0.01,1e-06,True,12,12,Sigmoid,0.008199361152946949,0.010437482967972755,4096,7
0.01,1e-07,True,20,6,Sigmoid,0.0062596118077635765,0.010455016046762466,1024,1
0.01,1e-06,True,20,6,Sigmoid,0.008240299299359322,0.010462133213877678,1024,1
0.01,1e-07,True,16,12,Sigmoid,0.012729127891361713,0.010477825067937374,8192,13
0.01,1e-07,True,12,6,Sigmoid,0.009551667608320713,0.010515782050788403,4096,3
0.01,1e-05,True,20,6,Sigmoid,0.00744232814759016,0.010550796054303646,1024,1
0.01,1e-07,True,8,6,Sigmoid,0.008662148378789425,0.010556837543845177,8192,5
0.01,0.0001,True,20,6,Sigmoid,0.009870851412415504,0.010572239756584167,512,1
0.01,1e-06,True,12,6,Sigmoid,0.008712008595466614,0.010572852566838264,2048,2
0.01,1e-05,True,8,6,Sigmoid,0.008140110410749912,0.010580717585980892,4096,3
0.01,1e-05,True,8,6,Sigmoid,0.009294657036662102,0.01058112271130085,2048,2
0.01,1e-05,True,16,6,Sigmoid,0.009770916774868965,0.010747426189482212,8192,6
0.01,0.0001,True,16,6,Sigmoid,0.007682258728891611,0.011059587821364403,4096,4
0.01,1e-07,True,12,12,Sigmoid,0.007136207073926926,0.011065224185585976,4096,7
0.01,0.0001,True,8,12,Sigmoid,0.01002858392894268,0.011110074818134308,4096,5
0.01,0.0001,True,8,12,Sigmoid,0.008328620344400406,0.01112651638686657,2048,4
0.01,1e-05,True,16,12,Sigmoid,0.008538704365491867,0.011309877038002014,4096,8
0.01,1e-06,True,20,6,Sigmoid,0.008239874616265297,0.011356232687830925,4096,5
0.01,1e-06,True,12,12,Sigmoid,0.007548694033175707,0.01136463601142168,2048,5
0.01,1e-07,True,8,12,Sigmoid,0.007689411751925945,0.011524408124387264,4096,5
0.01,1e-05,True,16,6,Sigmoid,0.008649205788969994,0.011532695963978767,1024,1
0.01,1e-06,True,16,6,Sigmoid,0.006931115873157978,0.011622035875916481,512,1
0.01,1e-06,True,8,12,Sigmoid,0.009059235453605652,0.011673817411065102,8192,10
0.01,1e-05,True,16,24,Sigmoid,0.010235058143734932,0.01170327328145504,8192,25
0.01,1e-06,True,20,6,Sigmoid,0.005261507350951433,0.011722824536263943,512,1
0.01,0.0001,True,12,12,Sigmoid,0.01045292429625988,0.011745981872081757,4096,7
0.01,1e-07,True,16,6,Sigmoid,0.009694987908005714,0.011867649853229523,512,1
0.01,0.0001,True,12,6,Sigmoid,0.00979392509907484,0.011882082559168339,4096,3
0.01,1e-06,True,12,6,Sigmoid,0.007957988418638706,0.01203005388379097,512,1
0.01,1e-07,True,16,24,Sigmoid,0.009392663836479187,0.012066435068845749,8192,25
0.01,1e-07,True,16,12,Sigmoid,0.008084391243755817,0.012066644616425037,1024,3
0.01,0.0001,True,8,6,Sigmoid,0.010454678907990456,0.01206823531538248,8192,5
0.01,1e-06,True,16,6,Sigmoid,0.008949579671025276,0.012071950361132622,1024,1
0.01,1e-05,True,8,12,Sigmoid,0.01074870117008686,0.012150296941399574,4096,5
0.01,0.0001,True,16,6,Sigmoid,0.011173129081726074,0.012220285832881927,2048,2
0.01,1e-06,True,20,6,Sigmoid,0.010563917458057404,0.012228231877088547,2048,3
0.01,1e-06,True,8,12,Sigmoid,0.007359713315963745,0.012287541292607784,1024,2
0.01,0.0001,True,16,6,Sigmoid,0.011556826531887054,0.012380916625261307,8192,6
0.01,1e-05,True,8,24,Sigmoid,0.009425969794392586,0.012451466172933578,8192,20
0.01,1e-07,True,8,12,Sigmoid,0.00783454068005085,0.012488720938563347,1024,2
0.01,1e-07,True,20,12,Sigmoid,0.0074286088347435,0.012497086077928543,2048,6
0.01,1e-05,True,8,6,Sigmoid,0.007629034109413624,0.012575429864227772,1024,1
0.01,1e-05,True,16,12,Sigmoid,0.011615382507443428,0.012585746124386787,8192,13
0.01,0.0001,True,16,6,Sigmoid,0.009377945214509964,0.01260736957192421,1024,992
0.01,1e-05,True,8,12,Sigmoid,0.007710926700383425,0.012668469920754433,512,2
0.01,1e-05,True,12,6,Sigmoid,0.006868445780128241,0.012777706608176231,512,1
0.01,1e-06,True,16,24,Sigmoid,0.009029463864862919,0.012800921685993671,8192,25
0.01,1e-07,True,8,6,Sigmoid,0.00570438988506794,0.012805387377738953,512,1
0.01,1e-05,True,20,24,Sigmoid,0.010125776752829552,0.0128452368080616,8192,33
0.01,1e-07,True,16,24,Sigmoid,0.014637986198067665,0.012855411507189274,4096,16
0.01,1e-07,True,16,6,Sigmoid,0.01183767057955265,0.012871207669377327,1024,1
0.01,1e-05,True,12,12,Sigmoid,0.012282708659768105,0.012872745282948017,8192,13
0.01,0.0001,True,20,6,Sigmoid,0.012952872551977634,0.012922357767820358,2048,3
0.01,0.0001,True,12,6,Sigmoid,0.010873385705053806,0.012932784855365753,512,1
0.01,0.0001,True,12,6,Sigmoid,0.011232053861021996,0.012944944202899933,8192,6
0.001,1e-05,True,16,6,Sigmoid,0.012528116814792156,0.01300407387316227,8192,6
0.01,1e-07,True,12,12,Sigmoid,0.010699346661567688,0.013039320707321167,8192,12
0.01,1e-05,True,8,12,Sigmoid,0.011748548597097397,0.013042065314948559,2048,4
0.01,1e-05,True,8,6,Sigmoid,0.007818011566996574,0.01305685006082058,512,1
0.01,1e-05,True,20,6,Sigmoid,0.006814305670559406,0.01310811098664999,512,1
0.01,0.0001,True,8,6,Sigmoid,0.010522842407226562,0.013268319889903069,1024,1
0.01,1e-05,True,12,24,Sigmoid,0.012015208601951599,0.013292752206325531,4096,14
0.01,1e-07,True,12,6,Sigmoid,0.009926114231348038,0.013318406417965889,1024,1
0.01,1e-05,True,20,6,Sigmoid,0.013352850452065468,0.013421515002846718,8192,8
0.01,1e-06,True,8,12,Sigmoid,0.009194566868245602,0.013473322615027428,4096,6
0.01,1e-07,True,16,24,Sigmoid,0.0062431106343865395,0.013483753427863121,2048,10
0.01,0.0001,True,8,6,Sigmoid,0.010045822709798813,0.013485088013112545,512,1
0.01,1e-06,True,8,24,Sigmoid,0.008134119212627411,0.013582917861640453,8192,19
0.01,1e-06,True,20,12,Sigmoid,0.009472854435443878,0.013602923601865768,1024,3
0.01,1e-06,True,16,12,Sigmoid,0.01336154155433178,0.013655888848006725,2048,5
