learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,0.0001,True,16,6,Sigmoid,0.008644776418805122,0.009034344926476479,4096,1
0.01,0.0001,True,16,6,Sigmoid,0.009164884686470032,0.010432424023747444,1024,0
0.01,1e-05,True,16,6,Sigmoid,0.009562659077346325,0.010434919036924839,8192,2
0.01,1e-05,True,20,6,Sigmoid,0.00916919857263565,0.010527902282774448,8192,2
0.01,1e-07,True,12,6,Sigmoid,0.009683006443083286,0.010628346353769302,8192,2
0.01,0.0001,True,20,6,Sigmoid,0.011021189391613007,0.010642768815159798,8192,2
0.01,1e-06,True,16,6,Sigmoid,0.01107112318277359,0.010701889172196388,4096,1
0.01,1e-05,True,20,6,Sigmoid,0.010198162868618965,0.011090675368905067,4096,1
0.01,1e-07,True,20,6,Sigmoid,0.00988021306693554,0.011424737051129341,8192,2
0.01,0.0001,True,12,6,Sigmoid,0.011004413478076458,0.011833595111966133,8192,2
0.01,0.0001,True,12,6,Sigmoid,0.010320054367184639,0.011959726922214031,4096,168
0.01,1e-05,True,20,6,Sigmoid,0.009276404045522213,0.011978499591350555,1024,0
0.01,0.0001,True,20,6,Sigmoid,0.011116765439510345,0.012097395956516266,1024,0
0.01,1e-07,True,16,12,Sigmoid,0.008956392295658588,0.012456883676350117,2048,2
0.01,1e-07,True,16,24,Sigmoid,0.010368210263550282,0.012518062256276608,8192,8
0.01,1e-06,True,16,12,Sigmoid,0.011226712726056576,0.012627974152565002,4096,2
0.01,0.0001,True,20,6,Sigmoid,0.01202975120395422,0.012760430574417114,2048,1
0.01,1e-07,True,12,6,Sigmoid,0.010073300451040268,0.012771218083798885,2048,0
0.01,1e-05,True,12,6,Sigmoid,0.010644402354955673,0.012779069133102894,4096,1
0.01,0.0001,True,20,12,Sigmoid,0.01146418135613203,0.012809382751584053,2048,2
0.01,1e-07,True,12,12,Sigmoid,0.009272804483771324,0.012871172279119492,1024,1
0.01,1e-07,True,16,6,Sigmoid,0.01206518616527319,0.013159289956092834,4096,1
0.01,1e-06,True,12,6,Sigmoid,0.010515261441469193,0.013193093240261078,8192,2
0.01,1e-06,True,20,6,Sigmoid,0.011686922051012516,0.013258261606097221,8192,2
0.01,1e-05,True,16,12,Sigmoid,0.010683043859899044,0.01348686683923006,2048,2
0.01,1e-07,True,12,6,Sigmoid,0.011647538281977177,0.01370890624821186,4096,1
0.01,1e-07,True,20,12,Sigmoid,0.010762808844447136,0.013710220344364643,8192,5
0.01,0.0001,True,12,6,Sigmoid,0.010650783777236938,0.013732293620705605,2048,0
0.01,1e-07,True,16,12,Sigmoid,0.010977210476994514,0.01388000138103962,8192,4
0.01,1e-05,True,8,6,Sigmoid,0.012054230086505413,0.013921830803155899,4096,1
0.01,1e-06,True,12,6,Sigmoid,0.013809203170239925,0.013948407024145126,2048,0
0.01,1e-07,True,8,6,Sigmoid,0.012621402740478516,0.013961653225123882,2048,0
