learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-07,True,20,24,Sigmoid,4.8851423263549805,5.018685340881348,64
0.01,0.0001,True,20,24,Sigmoid,5.114223480224609,5.020113945007324,1024
0.01,0.0001,True,20,6,Sigmoid,5.010364532470703,5.036497116088867,128
0.01,1e-06,True,16,24,Sigmoid,5.1185760498046875,5.044178009033203,128
0.01,1e-06,True,20,12,Sigmoid,4.828434467315674,5.050326347351074,64
0.01,1e-05,True,20,6,Sigmoid,5.110558032989502,5.062308311462402,1024
0.01,1e-07,True,20,24,Sigmoid,5.209883689880371,5.069575309753418,512
0.01,1e-05,True,20,12,Sigmoid,5.159080505371094,5.0793256759643555,512
0.01,1e-07,True,18,12,Sigmoid,5.140871047973633,5.086503505706787,512
0.01,1e-05,True,18,12,Sigmoid,3.634380578994751,5.141777992248535,16
0.01,1e-05,True,16,24,Sigmoid,5.219969272613525,5.168906211853027,512
0.01,0.0001,True,18,24,Sigmoid,5.271170616149902,5.1697282791137695,512
0.01,1e-06,True,16,24,Sigmoid,4.630327224731445,5.1807732582092285,32
0.01,1e-05,True,18,12,Sigmoid,5.0320940017700195,5.189010143280029,128
0.01,1e-07,True,18,12,Sigmoid,5.452467918395996,5.192094326019287,256
0.01,0.0001,True,20,6,Sigmoid,5.261007308959961,5.197662353515625,1024
0.01,1e-05,True,18,24,Sigmoid,4.5930304527282715,5.243275165557861,32
0.01,1e-07,True,18,24,Sigmoid,4.14314603805542,5.2469611167907715,16
0.01,1e-05,True,20,6,Sigmoid,3.5155787467956543,5.314557075500488,16
0.01,0.0001,True,20,6,Sigmoid,5.381815433502197,5.31999397277832,512
0.01,1e-06,True,20,6,Sigmoid,4.695846080780029,5.335618019104004,64
0.01,1e-05,True,18,6,Sigmoid,5.427774429321289,5.351902008056641,1024
0.01,0.0001,True,20,6,Sigmoid,3.5652835369110107,5.372788429260254,16
0.01,1e-05,True,16,12,Sigmoid,4.972255706787109,5.389904022216797,32
0.01,1e-07,True,20,12,Sigmoid,3.6299984455108643,5.398416519165039,16
0.01,0.0001,True,18,6,Sigmoid,4.9103007316589355,5.415998458862305,64
0.01,1e-05,True,20,6,Sigmoid,4.417816162109375,5.428353309631348,64
0.01,1e-07,True,14,12,Sigmoid,5.4929351806640625,5.473866939544678,512
0.01,1e-05,True,14,6,Sigmoid,5.575127124786377,5.5387749671936035,512
0.01,1e-05,True,16,12,Sigmoid,5.569124221801758,5.546121120452881,128
0.01,0.0001,True,16,6,Sigmoid,3.659907579421997,5.546611309051514,16
0.01,1e-05,True,16,6,Sigmoid,5.7437944412231445,5.548381328582764,256
0.01,1e-05,True,16,12,Sigmoid,5.531618118286133,5.552332401275635,512
0.01,1e-05,True,20,24,Sigmoid,5.488986968994141,5.553558349609375,64
0.01,1e-06,True,20,12,Sigmoid,4.739988327026367,5.555206298828125,32
0.01,0.0001,True,18,24,Sigmoid,5.238926887512207,5.555315017700195,32
0.01,1e-07,True,20,12,Sigmoid,5.8374834060668945,5.556486129760742,256
0.01,1e-07,True,16,24,Sigmoid,5.63458251953125,5.568429946899414,1024
0.01,1e-05,True,18,12,Sigmoid,5.468140125274658,5.591365337371826,64
