learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-05,True,12,6,Sigmoid,0.033386602997779846,0.09064377844333649,1024,2
0.01,0.0001,True,8,12,Sigmoid,0.032509077340364456,0.10754422098398209,1024,3
0.01,1e-07,True,16,12,Sigmoid,0.025031395256519318,0.11132866144180298,1024,4
0.01,1e-07,True,8,12,Sigmoid,0.042827509343624115,0.11329711973667145,1024,3
0.01,1e-06,True,20,24,Sigmoid,0.042693424969911575,0.11422673612833023,1024,9
0.01,0.0001,True,8,6,Sigmoid,0.04272835701704025,0.1161024197936058,1024,2
0.01,1e-07,True,12,12,Sigmoid,0.07143376767635345,0.11619691550731659,512,3
0.01,1e-05,True,12,12,Sigmoid,0.04902154207229614,0.11798958480358124,512,3
0.01,1e-06,True,20,12,Sigmoid,0.01841866970062256,0.12137111276388168,1024,4
0.01,1e-05,True,16,6,Sigmoid,0.03890715911984444,0.12451794743537903,1024,2
0.01,1e-06,True,12,12,Sigmoid,0.02828093059360981,0.1252768337726593,1024,4
0.01,1e-05,True,20,24,Sigmoid,0.020342007279396057,0.12616203725337982,1024,9
0.01,0.0001,True,12,24,Sigmoid,0.0540720596909523,0.1264963448047638,1024,8
0.01,0.0001,True,20,24,Sigmoid,0.04771833494305611,0.12665051221847534,1024,53
0.01,1e-06,True,20,24,Sigmoid,0.02240956947207451,0.12730607390403748,512,8
0.01,1e-07,True,20,24,Sigmoid,0.06088857725262642,0.12753725051879883,512,8
0.01,1e-06,True,16,6,Sigmoid,0.02207719348371029,0.12882623076438904,1024,2
0.01,0.0001,True,20,12,Sigmoid,0.022891175001859665,0.1292489469051361,1024,4
0.01,0.0001,True,12,12,Sigmoid,0.030860120430588722,0.1306680291891098,1024,4
0.01,1e-05,True,12,12,Sigmoid,0.05394481122493744,0.1310054361820221,1024,4
0.01,1e-07,True,20,6,Sigmoid,0.053814735263586044,0.13111016154289246,1024,2
0.01,1e-07,True,20,24,Sigmoid,0.05837491899728775,0.13670197129249573,1024,9
0.01,1e-06,True,16,12,Sigmoid,0.026005715131759644,0.1370992660522461,1024,4
0.01,1e-06,True,8,24,Sigmoid,0.059403255581855774,0.14080210030078888,1024,7
0.01,0.0001,True,16,12,Sigmoid,0.08336009085178375,0.14158566296100616,1024,4
0.01,1e-05,True,16,12,Sigmoid,0.05231134593486786,0.14268676936626434,512,3
