optimizer,learning_rate,weight_decay,beta_1,beta_2,eps,num_epochs,batch_size,layer_depth,n_layers,activation_function,train_error,test_error,training_set_size,train_time,version,scenario
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.023558413609862328,0.05876976251602173,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.05071922391653061,0.059146493673324585,512,10,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.04039933532476425,0.059411242604255676,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.035569895058870316,0.059760287404060364,512,8,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.036780986934900284,0.05977306514978409,256,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.05391117185354233,0.05997045710682869,1024,21,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.046948209404945374,0.060876745730638504,1024,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.056455086916685104,0.060972392559051514,1024,38,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,512.0,4,6,Sigmoid,0.05910434573888779,0.06098020821809769,1024,13,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.04945341870188713,0.06130430847406387,1024,21,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.026909900829195976,0.06149360537528992,512,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.0325668565928936,0.06153387948870659,512,4,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.0529458150267601,0.06183736026287079,1024,9,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,8,6,Sigmoid,0.05715831741690636,0.062297314405441284,1024,38,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,4,12,Sigmoid,0.060007400810718536,0.06261779367923737,1024,8,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,256.0,4,6,Sigmoid,0.057579830288887024,0.06269843876361847,1024,21,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.05533558875322342,0.06286250799894333,1024,37,1,projectile
adam,0.001,1e-05,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.05004863068461418,0.0629725232720375,1024,21,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.05261963605880737,0.06313418596982956,512,18,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,8,6,Sigmoid,0.05978726968169212,0.06313525140285492,512,10,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,8,12,Sigmoid,0.024710241705179214,0.06330230832099915,512,8,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,,16,6,Sigmoid,0.03310038521885872,0.06344079971313477,1024,5,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,,8,6,Sigmoid,0.03767511248588562,0.06369487196207047,512,4,1,projectile
adam,0.01,1e-06,0.9,0.99,1e-08,2000,256.0,4,12,Sigmoid,0.05403897911310196,0.06386987864971161,1024,37,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,,4,6,Sigmoid,0.04097361862659454,0.06435365974903107,1024,4,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,128.0,4,12,Sigmoid,0.06706790626049042,0.06435465812683105,1024,71,1,projectile
adam,0.01,1e-05,0.9,0.99,1e-08,2000,128.0,4,12,Sigmoid,0.06578488647937775,0.06454440951347351,1024,71,1,projectile
adam,0.01,1e-07,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.04758307710289955,0.06455650925636292,512,10,1,projectile
adam,0.001,0.0001,0.9,0.99,1e-08,2000,256.0,16,6,Sigmoid,0.05768367648124695,0.06460729986429214,1024,21,1,projectile
adam,0.01,0.0001,0.9,0.99,1e-08,2000,128.0,4,6,Sigmoid,0.05659422278404236,0.06475919485092163,512,19,1,projectile
