learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size
0.01,1e-07,True,18,24,Sigmoid,4.93613862991333,4.969196319580078,128
0.01,1e-06,True,20,6,Sigmoid,4.587251663208008,4.991832256317139,64
0.01,1e-07,True,20,24,Sigmoid,4.912886142730713,5.003794193267822,256
0.01,0.0001,True,20,6,Sigmoid,4.975622177124023,5.012229919433594,512
0.01,1e-07,True,18,12,Sigmoid,4.890374660491943,5.023244857788086,128
0.01,0.0001,True,20,12,Sigmoid,4.972698211669922,5.037071228027344,256
0.01,1e-06,True,20,6,Sigmoid,3.500077962875366,5.042977333068848,16
0.01,0.0001,True,14,6,Sigmoid,4.433819770812988,5.050015449523926,128
0.01,1e-05,True,18,24,Sigmoid,4.952380657196045,5.052090644836426,128
0.01,1e-07,True,18,24,Sigmoid,4.915731430053711,5.090157508850098,64
0.01,1e-05,True,18,12,Sigmoid,4.8147125244140625,5.094244480133057,128
0.01,1e-05,True,20,6,Sigmoid,5.04759407043457,5.095142364501953,1024
0.01,0.0001,True,20,24,Sigmoid,5.101101398468018,5.105554580688477,512
0.01,1e-06,True,18,6,Sigmoid,4.933010578155518,5.105929374694824,256
0.01,0.0001,True,20,24,Sigmoid,5.067656517028809,5.120983123779297,128
0.01,1e-06,True,18,24,Sigmoid,5.056717395782471,5.148133277893066,256
0.01,0.0001,True,20,12,Sigmoid,5.130428791046143,5.177679061889648,512
0.01,1e-06,True,16,6,Sigmoid,4.86466121673584,5.179765701293945,128
0.01,1e-07,True,16,24,Sigmoid,4.791585922241211,5.194498538970947,32
0.01,0.0001,True,20,24,Sigmoid,5.188108921051025,5.217512607574463,1024
0.01,1e-07,True,18,6,Sigmoid,5.1398491859436035,5.2476959228515625,256
0.01,0.0001,True,18,12,Sigmoid,3.9505486488342285,5.247780799865723,16
0.01,0.0001,True,16,12,Sigmoid,5.172213554382324,5.2497711181640625,1024
0.01,1e-07,True,14,24,Sigmoid,5.134768962860107,5.258681297302246,64
0.01,1e-07,True,16,12,Sigmoid,5.186304092407227,5.261291027069092,512
0.01,1e-06,True,16,12,Sigmoid,5.090266227722168,5.269992828369141,256
0.01,0.0001,True,18,6,Sigmoid,5.116003513336182,5.283594608306885,256
0.01,1e-07,True,20,12,Sigmoid,5.2573442459106445,5.299715995788574,512
0.01,1e-07,True,18,12,Sigmoid,4.188969135284424,5.303271770477295,16
0.01,1e-05,True,16,12,Sigmoid,5.250976085662842,5.312034606933594,1024
0.01,1e-07,True,18,12,Sigmoid,5.259456157684326,5.322183609008789,1024
0.01,1e-05,True,20,24,Sigmoid,4.891200065612793,5.333273887634277,32
0.01,1e-05,True,20,6,Sigmoid,4.103216648101807,5.381280899047852,16
0.01,1e-06,True,18,12,Sigmoid,5.09881067276001,5.392097473144531,64
0.01,1e-05,True,16,24,Sigmoid,5.2896952629089355,5.392117023468018,128
0.01,1e-06,True,18,12,Sigmoid,5.317075729370117,5.400224685668945,512
0.01,1e-06,True,20,24,Sigmoid,5.3824944496154785,5.41533088684082,256
0.01,1e-05,True,20,6,Sigmoid,4.779087066650391,5.4332990646362305,64
0.01,1e-07,True,16,12,Sigmoid,5.386794090270996,5.4409565925598145,1024
0.01,0.0001,True,18,12,Sigmoid,4.952391147613525,5.448951244354248,32
0.01,1e-05,True,18,12,Sigmoid,4.822967529296875,5.455207824707031,32
0.01,1e-05,True,20,12,Sigmoid,5.368925094604492,5.461827278137207,256
