learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-06,True,20,6,Sigmoid,0.02756551280617714,0.04613200202584267,1024,1
0.01,1e-05,True,20,6,Sigmoid,0.02771921269595623,0.0490993931889534,1024,1
0.01,0.0001,True,16,6,Sigmoid,0.02738751843571663,0.05621886998414993,512,1
0.01,1e-05,True,20,12,Sigmoid,0.035530831664800644,0.057276900857686996,1024,3
0.01,0.0001,True,16,12,Sigmoid,0.04403410851955414,0.05867987871170044,1024,2
0.01,0.0001,True,20,12,Sigmoid,0.045230716466903687,0.058963656425476074,1024,326
0.01,1e-06,True,16,12,Sigmoid,0.031366147100925446,0.059365417808294296,1024,2
0.01,1e-07,True,20,12,Sigmoid,0.04778725653886795,0.06303964555263519,1024,3
0.01,0.0001,True,16,24,Sigmoid,0.05526988208293915,0.06445495039224625,1024,5
0.01,1e-05,True,12,24,Sigmoid,0.04547567293047905,0.06533057242631912,1024,5
0.01,1e-06,True,20,12,Sigmoid,0.03925049304962158,0.06693245470523834,1024,3
0.01,1e-07,True,16,6,Sigmoid,0.03602960705757141,0.06738604605197906,1024,1
0.01,0.0001,True,20,24,Sigmoid,0.0323469340801239,0.07169153541326523,1024,7
0.01,1e-06,True,12,24,Sigmoid,0.04175683483481407,0.07194801419973373,1024,5
0.01,1e-07,True,20,6,Sigmoid,0.03865457698702812,0.07210365682840347,1024,1
0.01,1e-07,True,12,6,Sigmoid,0.046273574233055115,0.07217945158481598,1024,1
0.01,1e-06,True,12,6,Sigmoid,0.04420404136180878,0.0737469419836998,1024,1
0.01,1e-06,True,12,12,Sigmoid,0.05295443907380104,0.07620285451412201,1024,2
0.01,0.0001,True,16,6,Sigmoid,0.04189442843198776,0.07630236446857452,1024,1
0.01,1e-05,True,12,12,Sigmoid,0.03868235647678375,0.07697809487581253,1024,39
0.01,1e-07,True,12,6,Sigmoid,0.0334436260163784,0.07862967252731323,512,1
0.01,1e-06,True,12,6,Sigmoid,0.042167071253061295,0.07889871299266815,512,1
0.01,1e-07,True,16,6,Sigmoid,0.03214976564049721,0.07963301241397858,512,1
0.01,1e-05,True,16,12,Sigmoid,0.05454495549201965,0.08128789067268372,1024,2
0.01,1e-07,True,16,24,Sigmoid,0.04149043560028076,0.0843159556388855,512,4
0.01,1e-05,True,16,6,Sigmoid,0.07261298596858978,0.08437405526638031,1024,1
0.01,0.0001,True,20,6,Sigmoid,0.04790625348687172,0.08463800698518753,512,1
0.01,1e-06,True,16,12,Sigmoid,0.032214485108852386,0.08472337573766708,512,2
0.01,0.0001,True,8,12,Sigmoid,0.05909714847803116,0.08585044741630554,1024,2
0.01,1e-05,True,8,12,Sigmoid,0.0578339584171772,0.08591419458389282,1024,2
0.01,1e-07,True,16,12,Sigmoid,0.04843230918049812,0.08607721328735352,1024,2
0.01,0.0001,True,20,12,Sigmoid,0.045168329030275345,0.0862402468919754,512,2
0.01,1e-07,True,20,6,Sigmoid,0.031962230801582336,0.08644428849220276,512,1
0.01,1e-05,True,16,6,Sigmoid,0.05765696242451668,0.08792347460985184,512,1
0.01,1e-07,True,16,12,Sigmoid,0.07847093045711517,0.08819259703159332,512,2
0.01,1e-05,True,12,6,Sigmoid,0.04886786267161369,0.08904814720153809,1024,1
0.01,1e-07,True,20,24,Sigmoid,0.05188559368252754,0.0901038646697998,1024,6
0.01,0.0001,True,16,12,Sigmoid,0.06279405951499939,0.09036098420619965,512,2
0.01,0.0001,True,12,6,Sigmoid,0.02961646392941475,0.09097504615783691,256,1
0.01,0.0001,True,20,24,Sigmoid,0.08879457414150238,0.09287324547767639,512,259
0.01,1e-07,True,8,12,Sigmoid,0.06333205103874207,0.0942545235157013,512,2
0.01,0.0001,True,8,24,Sigmoid,0.0647360235452652,0.0953834280371666,1024,4
0.01,1e-06,True,8,6,Sigmoid,0.07276391983032227,0.09603004902601242,512,1
0.01,1e-05,True,20,24,Sigmoid,0.058707352727651596,0.09661915898323059,1024,6
0.01,0.0001,True,12,24,Sigmoid,0.049841467291116714,0.09821545332670212,1024,5
0.01,1e-05,True,20,6,Sigmoid,0.03384710103273392,0.09825271368026733,512,1
0.01,1e-06,True,8,6,Sigmoid,0.06927633285522461,0.09835810959339142,1024,1
0.01,1e-07,True,20,12,Sigmoid,0.047080256044864655,0.09841598570346832,512,2
0.01,1e-06,True,20,24,Sigmoid,0.052514731884002686,0.09976205974817276,512,5
0.01,1e-06,True,16,6,Sigmoid,0.062808096408844,0.10053855180740356,512,1
0.01,1e-05,True,20,12,Sigmoid,0.05057790130376816,0.10120467096567154,512,2
0.01,0.0001,True,12,6,Sigmoid,0.048852354288101196,0.1016211062669754,512,1
0.01,1e-07,True,8,6,Sigmoid,0.07119917124509811,0.10170241445302963,1024,1
0.01,1e-07,True,12,24,Sigmoid,0.05083337426185608,0.10223612934350967,512,4
0.01,1e-07,True,12,12,Sigmoid,0.07636916637420654,0.10242661833763123,1024,2
0.01,1e-05,True,16,24,Sigmoid,0.07497727125883102,0.10352467745542526,512,4
0.01,0.0001,True,20,24,Sigmoid,0.04106546938419342,0.10630971193313599,256,4
0.01,1e-06,True,16,6,Sigmoid,0.08645880222320557,0.10665977746248245,1024,1
0.01,1e-05,True,12,24,Sigmoid,0.05635298788547516,0.10843819379806519,512,4
0.01,1e-05,True,16,24,Sigmoid,0.05978499352931976,0.10845161229372025,1024,5
0.01,1e-07,True,12,6,Sigmoid,0.038516800850629807,0.10978332161903381,256,1
0.01,1e-07,True,12,24,Sigmoid,0.07096642255783081,0.11225857585668564,1024,5
0.01,0.0001,True,8,6,Sigmoid,0.07522427290678024,0.1136302724480629,1024,1
0.01,1e-06,True,20,12,Sigmoid,0.09805885702371597,0.11483334749937057,512,2
0.01,1e-07,True,8,24,Sigmoid,0.08821669220924377,0.11634033918380737,512,4
0.01,1e-07,True,16,24,Sigmoid,0.032064758241176605,0.12073954939842224,1024,5
0.01,1e-07,True,8,12,Sigmoid,0.08880085498094559,0.12549376487731934,1024,2
0.01,0.0001,True,12,12,Sigmoid,0.04173307493329048,0.12658102810382843,512,2
0.01,0.0001,True,8,12,Sigmoid,0.055837128311395645,0.12661466002464294,512,2
0.01,1e-05,True,8,6,Sigmoid,0.07835951447486877,0.12689585983753204,512,1
0.01,1e-06,True,20,6,Sigmoid,0.0730268657207489,0.1274072229862213,512,1
0.01,1e-05,True,4,12,Sigmoid,0.11945191770792007,0.12911996245384216,256,1
0.01,0.0001,True,4,12,Sigmoid,0.11897207051515579,0.13014844059944153,1024,2
0.01,1e-07,True,8,6,Sigmoid,0.05201777443289757,0.1302385926246643,512,1
0.01,1e-05,True,8,6,Sigmoid,0.08123227208852768,0.13067306578159332,1024,1
0.01,0.0001,True,4,6,Sigmoid,0.12453359365463257,0.13407908380031586,512,1
0.01,0.0001,True,16,12,Sigmoid,0.1017780601978302,0.13822659850120544,256,2
0.01,0.0001,True,12,6,Sigmoid,0.12089946866035461,0.138818621635437,1024,1
0.01,1e-05,True,12,12,Sigmoid,0.07974429428577423,0.13979168236255646,512,2
0.01,0.0001,True,12,24,Sigmoid,0.06006484851241112,0.14238788187503815,512,4
0.01,1e-06,True,12,12,Sigmoid,0.08587178587913513,0.14415651559829712,512,2
0.01,0.0001,True,20,6,Sigmoid,0.025416698306798935,0.14502251148223877,256,1
0.01,0.0001,True,20,6,Sigmoid,0.11546269059181213,0.14540301263332367,1024,1
0.01,1e-07,True,12,12,Sigmoid,0.07206426560878754,0.14579027891159058,256,2
0.01,0.0001,True,20,12,Sigmoid,0.04375285655260086,0.14768308401107788,256,2
0.01,1e-05,True,16,6,Sigmoid,0.06729745864868164,0.15161852538585663,256,1
0.01,0.0001,True,12,12,Sigmoid,0.04981731250882149,0.15183551609516144,1024,2
0.01,1e-06,True,16,6,Sigmoid,0.02795766294002533,0.152432382106781,256,1
0.01,1e-07,True,8,24,Sigmoid,0.11337102204561234,0.15363800525665283,1024,4
0.01,1e-06,True,16,12,Sigmoid,0.026397202163934708,0.15432150661945343,256,2
0.01,0.0001,True,16,24,Sigmoid,0.06479475647211075,0.15572215616703033,512,4
0.01,0.0001,True,12,12,Sigmoid,0.03765476495027542,0.15589530766010284,256,2
0.01,1e-05,True,20,24,Sigmoid,0.10128054022789001,0.15972523391246796,512,6
0.01,1e-06,True,8,24,Sigmoid,0.1094042956829071,0.15976494550704956,1024,4
0.01,1e-06,True,16,24,Sigmoid,0.07733897864818573,0.16250714659690857,512,4
0.01,1e-05,True,8,24,Sigmoid,0.14363589882850647,0.1657961755990982,1024,4
0.01,1e-06,True,8,12,Sigmoid,0.07546086609363556,0.1702142059803009,256,1
0.01,1e-07,True,20,6,Sigmoid,0.026113387197256088,0.17279519140720367,256,1
0.01,0.0001,True,16,24,Sigmoid,0.14965291321277618,0.1744213104248047,256,4
0.01,1e-07,True,8,6,Sigmoid,0.08807491511106491,0.17505088448524475,256,1
0.01,1e-06,True,12,24,Sigmoid,0.06360989809036255,0.17514082789421082,512,4
0.01,1e-07,True,8,12,Sigmoid,0.08412346243858337,0.17527788877487183,256,2
0.01,1e-07,True,16,12,Sigmoid,0.07736942172050476,0.17615598440170288,256,2
0.01,1e-06,True,16,24,Sigmoid,0.05690135806798935,0.1774025857448578,256,4
0.01,1e-05,True,8,12,Sigmoid,0.07676459103822708,0.17967747151851654,256,1
0.01,1e-05,True,8,12,Sigmoid,0.061949167400598526,0.1813001036643982,512,2
