learning_rate,reg_param,batch_norm,depth,num_hidden_layers,activation,train_error,test_error,train_size,optim_time
0.01,1e-07,True,12,6,Sigmoid,0.003958663437515497,0.006063300184905529,2048,3
0.01,1e-07,True,12,6,Sigmoid,0.00593663239851594,0.0065705194137990475,4096,6
0.01,1e-05,True,16,6,Sigmoid,0.005322405137121677,0.006824549287557602,4096,7
0.01,1e-07,True,8,6,Sigmoid,0.004633964970707893,0.006963493302464485,4096,6
0.01,1e-05,True,12,6,Sigmoid,0.005533112678676844,0.007123786490410566,8192,6
0.01,0.0001,True,16,6,Sigmoid,0.005979572422802448,0.007144607603549957,4096,6
0.01,1e-07,True,16,6,Sigmoid,0.0052421968430280685,0.007163345348089933,4096,6
0.01,1e-07,True,16,6,Sigmoid,0.007237154990434647,0.0073366728611290455,2048,3
0.01,1e-06,True,12,6,Sigmoid,0.004773562774062157,0.007467568852007389,4096,7
0.01,1e-05,True,16,12,Sigmoid,0.004322653636336327,0.007590406108647585,4096,8
0.01,1e-05,True,12,12,Sigmoid,0.005904431454837322,0.0075959740206599236,4096,7
0.01,1e-05,True,16,6,Sigmoid,0.004354557953774929,0.007627925835549831,8192,6
0.01,1e-06,True,20,6,Sigmoid,0.005631378851830959,0.007703613489866257,4096,5
0.01,1e-05,True,12,6,Sigmoid,0.00571460323408246,0.007729183882474899,2048,3
0.01,1e-06,True,20,6,Sigmoid,0.005889548920094967,0.007817910984158516,1024,2
0.01,1e-05,True,20,6,Sigmoid,0.005296034272760153,0.007835127413272858,8192,8
0.01,1e-05,True,12,6,Sigmoid,0.004523221403360367,0.007860060781240463,4096,6
0.01,1e-06,True,16,6,Sigmoid,0.00740555115044117,0.008165673352777958,1024,2
0.01,1e-06,True,16,6,Sigmoid,0.008671993389725685,0.008187943138182163,4096,7
0.01,1e-05,True,8,6,Sigmoid,0.007786924950778484,0.00827213004231453,4096,6
0.01,1e-05,True,20,6,Sigmoid,0.0063740042969584465,0.008280996233224869,1024,2
0.01,0.0001,True,16,6,Sigmoid,0.007515736855566502,0.008315893821418285,8192,6
0.01,0.0001,True,16,6,Sigmoid,0.006011215038597584,0.008319731801748276,2048,3
